character_name,star_rarity,region,vision,arkhe,weapon_type,release_date,model,constellation,birthday,special_dish,affiliation,limited,voice_en,voice_cn,voice_jp,voice_kr,ascension_specialty,ascension_boss_material,ascension_material_0-2,ascension_material_2-4,ascension_material_4-6,ascension_gem_0-1,ascension_gem_1-3,ascension_gem_3-5,ascension_gem_5-6,talent_material_1-2,talent_material_2-6,talent_material_6-10,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,ascension_special_stat,special_0,special_1,special_2,special_3,special_4,special_5,special_6
Emilie,5,Fontaine,Dendro,Pneuma,Polearm,2024-08-06,Medium Female,Pomum de Ambra,22-Sep,A Fragrant Feast of Flavors,"Court of Fontaine (on profile), Maison Gardiennage (contractor)",TRUE,Amber Aviles,Muzi Cheng (木子橙),Hikasa Yoko (日笠陽子),Kwon Da-ye (권다예),Lakelight Lily,Fragment of a Golden Melody,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Silken Feather,13568,335,730,12615,311,679,11971,295,644,11025,272,593,10381,256,559,9445,233,508,8802,217,474,7874,194,424,7016,173,378,6099,150,328,5455,135,294,3646,90,196,2740,68,147,1056,26,57,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Eula,5,Mondstadt,Cryo,,Claymore,2021-05-18,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,"Knights of Favonius (on profile), Lawrence Clan",TRUE,Suzie Yeung,Ziyin (子音),Rina Sato (佐藤利奈),Kim Hyeon-ji (김현지),Dandelion Seed,Crystalline Bloom,Damaged Mask,Stained Mask,Ominous Mask,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dragon Lord's Crown,13226,342,751,12296,318,698,11669,302,662,10746,278,610,10119,262,574,9207,238,523,8579,222,487,7675,199,436,6839,177,388,5944,154,337,5317,138,302,3554,92,202,2671,69,152,1030,27,58,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Faruzan,4,Sumeru,Anemo,,Bow,2022-12-07,Medium Female,Flosculi Implexi,20-Aug,Traditionally-Made Charcoal-Baked Ajilenakh Cake,Haravatat,FALSE,Chandni Parekh,Yan Mengmeng (阎萌萌),Horie Yui (堀江 由衣),Kim You-rim (김유림),Henna Berry,Light Guiding Tetrahedron,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Puppet Strings,9569,196,627,8907,182,584,8481,174,556,7818,160,513,7392,151,485,6730,138,441,6304,129,413,5641,115,370,5074,104,332,4411,90,289,3985,81,261,2660,54,174,2061,42,135,802,16,52,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Fischl,4,Mondstadt,Electro,,Bow,2020-09-28,Medium Female,Corvus,27-May,Die Heilige Sinfonie,Adventurers' Guild,FALSE,"Brittany Cox, Ben Pronsky","Mace,  Yuantao Li (李元韬), Zhao Yuecheng (赵悦程)","Maaya Uchida (内田真礼), Yasunori Masutani (増谷康紀)","Park Go-woon (박고운), Lee Hyun (이현)",Small Lamp Grass,Lightning Prism,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Firm Arrowhead,Sharp Arrowhead,Weathered Arrowhead,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Spirit Locket of Boreas,9189,244,594,8553,227,553,8144,216,526,7508,200,485,7099,189,459,6463,172,418,6054,161,391,5418,144,350,4872,130,315,4236,113,274,3827,102,247,2555,68,165,1979,53,128,770,20,50,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Freminet,4,Fontaine,Cryo,Pneuma,Claymore,2023-09-05,Medium Male,Automaton,24-Sep,"""Seabird's Sojourn""","Hotel Bouffes d'ete (on profile), House of the Hearth",FALSE,Paul Castro Jr.,Jinli (锦鲤),Toki Shunichi (土岐隼一),Lee Joo-Seung (이주승),Romaritime Flower,Artificed Spare Clockwork Component - Coppelius,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Worldspan Fern,12071,254,708,11235,237,659,10697,225,627,9861,208,578,9324,196,547,8489,179,498,7952,167,466,7116,150,417,6400,135,375,5564,117,326,5027,106,295,3356,70,196,2600,54,152,1012,21,59,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Furina,5,Fontaine,Hydro,Both,Sword,2023-11-08,Medium Female,Animula Choragi,13-Oct,"""Pour la Justice""","Court of Fontaine (on profile), Opera Epiclese (formerly), The Seven (as a representative, formerly)",TRUE,Amber Lee Connors,Qian Chen (钱琛),Minase Inori (水瀬いのり),Kim Ha-yeong (김하영),Lakelight Lily,Water That Failed To Transcend,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Justice,Guide to Justice,Guide to Justice,Guide to Justice,Guide to Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Philosophies of Justice,Lightless Mass,15307,243,695,14231,226,646,13505,215,613,12437,198,565,11711,186,532,10655,169,484,9929,158,451,8883,141,403,7915,126,359,6880,109,312,6154,98,279,4112,65,186,3091,49,140,1191,18,54,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Gaming,4,Liyue,Pyro,,Claymore,2024-01-31,Medium Male,Leo Expergiscens,22-Dec,Yummy Yum Cha,"Sword and Strongbox Secure Transport Agency (Faction) (on profile), Mighty Mythical Beasts",FALSE,Caleb Yen,Xie Ying (谢莹),Komatsu Shouhei (小松昌平),Kim Yoon-ki (김윤기),Starconch,Emperor's Resolution,Slime Condensate,Slime Secretions,Slime Concentrate,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Lightless Mass,11419,302,703,10628,281,654,10120,267,623,9329,246,574,8821,233,543,8031,212,494,7523,199,463,6732,178,414,6054,160,373,5264,139,324,4755,126,293,3175,84,195,2460,65,151,957,25,59,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Ganyu,5,Liyue,Cryo,,Bow,2021-01-12,Medium Female,Sinae Unicornis,02-Dec,Prosperous Peace,"Yuehai Pavilion (on profile), Liyue Qixing Employees, Adepti",TRUE,Jennifer Losi,Su Lin (林簌),Reina Ueda (上田麗奈),Kim Sun-hye (김선혜),Qingxin,Hoarfrost Core,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shadow of the Warrior,9797,335,630,9108,311,586,8643,295,556,7960,272,512,7495,256,482,6820,233,439,6355,217,409,5686,194,366,5066,173,326,4403,151,283,3939,135,253,2632,90,169,1978,68,127,763,26,49,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Gorou,4,Inazuma,Geo,,Bow,2021-12-14,Medium Male,Canis Bellatoris,18-May,Victorious Legend,"Watatsumi Island (on profile), Watatsumi Army, Yae Publishing House (as Ms. Hina)",FALSE,Cory Yee,Yang Xinran (杨昕燃),Tasuku Hatanaka (畠中 祐),Lee Sae-byeok (이새벽),Sango Pearl,Perpetual Heart,Spectral Husk,Spectral Heart,Spectral Nucleus,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Molten Moment,9570,183,648,8907,170,603,8481,162,575,7818,149,530,7393,141,501,6731,128,456,6305,120,427,5642,108,382,5074,97,344,4411,84,299,3985,76,270,2661,51,180,2061,39,140,802,15,54,Geo DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Hu Tao,5,Liyue,Pyro,,Polearm,2021-03-02,Medium Female,Papilio Charontis,15-Jul,Ghostly March,"Wangsheng Funeral Parlor (on profile), Hu Family",TRUE,Brianna Knickerbocker,Dian Tao (陶典),Rie Takahashi (高橋李依),Kim Ha-ru (김하루),Silk Flower,Juvenile Jade,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Shard of a Foul Legacy,15552,106,876,14459,99,815,13721,94,773,12637,86,712,11899,81,670,10826,74,610,10089,69,568,9026,62,508,8042,55,453,6990,48,394,6253,43,352,4179,29,235,3141,21,177,1211,8,68,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Jean,5,Mondstadt,Anemo,,Sword,2020-09-28,Tall Female,Leo Minor,14-Mar,Invigorating Pizza,"Knights of Favonius (on profile), Four Winds, Gunnhildr Clan",FALSE,Stephanie Southerland,Su Lin (林簌),Chiwa Saitō (斎藤千和),Ahn Young-mi (안영미),Dandelion Seed,Hurricane Seed,Damaged Mask,Stained Mask,Ominous Mask,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Plume,14695,239,769,13662,222,715,12965,211,678,11940,194,624,11243,183,588,10230,166,535,9533,155,499,8528,139,446,7599,124,397,6605,108,345,5908,96,309,3948,64,206,2967,48,155,1144,19,60,Healing Bonus,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%
Kaedehara Kazuha,5,Inazuma,Anemo,,Sword,2021-06-29,Medium Male,Acer Palmatum,29-Oct,All-Weather Beauty,"The Crux (on profile), Kaedehara Clan, Watatsumi Army (formerly)",TRUE,Mark Whitten,Banma (斑马),Nobunaga Shimazaki (島崎 信長),Kim Shin-woo (김신우),Sea Ganoderma,Marionette Core,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Gilded Scale,13348,297,807,12410,276,750,11777,262,712,10846,241,656,10213,227,617,9292,206,562,8659,192,523,7747,172,468,6902,153,417,5999,133,363,5366,119,324,3586,80,217,2695,60,163,1039,23,63,Elemental Mastery,0,0,28.8,57.6,57.6,86.4,115.2
Kaeya,4,Mondstadt,Cryo,,Sword,2020-09-28,Tall Male,Pavo Ocellus,30-Nov,Fruity Skewers,"Knights of Favonius (on profile), Khaenri'ah, Alberich Clan",FALSE,Josey Montana McCoy,Ye Sun (孙晔),Kohsuke Toriumi (鳥海浩輔),Jeong Joo-won (정주원),Calla Lily,Hoarfrost Core,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Spirit Locket of Boreas,11636,223,792,10830,208,737,10312,198,702,9508,182,647,8990,172,612,8184,157,557,7666,147,522,6860,131,467,6170,118,420,5364,103,365,4846,93,330,3235,62,220,2506,48,171,976,19,66,Energy Recharge,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%
Kamisato Ayaka,5,Inazuma,Cryo,,Sword,2021-07-21,Medium Female,Grus Nivis,28-Sep,"""Snow on the Hearth""","Yashiro Commission (on profile), Kamisato Clan",TRUE,Erica Mendez,Xiao N (小N),Saori Hayami (早見沙織),Lee Yu-ri (이유리),Sakura Bloom,Perpetual Heart,Old Handguard,Kageuchi Handguard,Famed Handguard,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Bloodjade Branch,12858,342,784,11954,318,729,11345,302,692,10448,278,637,9838,262,600,8951,238,546,8341,222,509,7462,198,455,6649,177,405,5779,154,352,5170,138,315,3455,92,211,2597,79,158,1001,27,61,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Kamisato Ayato,5,Inazuma,Hydro,,Sword,2022-03-30,Tall Male,Cypressus Custos,26-Mar,Quiet Elegance,"Yashiro Commission (on profile), Kamisato Clan, Shuumatsuban",TRUE,Chris Hackney,Zhaolu (赵路),Akira Ishida (石田 彰),Jang Min-hyeok (장민혁),Sakura Bloom,Dew of Repudation,Old Handguard,Kageuchi Handguard,Famed Handguard,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Mudra of the Malefic General,13715,299,769,12751,278,715,12101,264,678,11144,243,624,10494,229,588,9548,208,535,8897,194,499,7960,174,446,1092,155,397,6165,135,345,5514,120,309,3685,81,206,2770,61,155,1068,24,60,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Kaveh,4,Sumeru,Dendro,,Claymore,2023-05-02,Tall Male,Paradisaea,09-Jul,The Endeavor,"Independent Design Studio (on profile), Kshahrewar (graduate)",FALSE,Ben Balmaceda,Liu Sanmu (刘三木),Uchida Yuma (内田 雄馬),Lee Jung-min (이정민),Mourning Flower,Quelled Creeper,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Primordial Greenbloom,11962,233,750,11133,217,698,10601,207,665,9773,190,613,9240,180,579,8413,164,528,7880,153,494,7052,137,442,6342,123,398,5514,107,346,4981,97,312,3325,64,208,2576,50,161,1002,19,62,Elemental Mastery,0,0,24,48,48,72,96
Keqing,5,Liyue,Electro,,Sword,2020-09-28,Medium Female,Trulla Cementarii,20-Nov,Survival Grilled Fish,Liyue Qixing,FALSE,Kayli Mills,Ying Xie (谢莹),Eri Kitamura (喜多村英梨),Lee Bo-hee (이보희),Cor Lapis,Lightning Prism,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Ring of Boreas,13103,323,799,12182,300,743,11561,285,705,10647,262,649,10025,247,612,9121,225,556,8500,209,519,7604,187,464,6776,167,413,5889,145,359,5268,130,321,3521,87,215,2646,65,161,1020,25,62,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Kirara,4,Inazuma,Dendro,,Sword,2023-05-24,Medium Female,Arcella,22-Jan,Energizing Bento,Komaniya Express,FALSE,Julia Gu,Sun Yanqi (孙艳琦),Suzushiro Sayumi (鈴代 紗弓),Kang Eun-ae (강은애),Amakumo Fruit,Evergloom Ring,Spectral Husk,Spectral Heart,Spectral Nucleus,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Everamber,12179,223,546,11336,207,508,10794,197,483,9950,182,446,9408,172,421,8566,156,384,8024,146,359,7180,131,321,6457,118,289,5614,102,251,5072,92,227,3386,62,151,2623,48,117,1021,18,45,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Klee,5,Mondstadt,Pyro,,Catalyst,2020-10-20,Short Female,Trifolium,27-Jul,Fish-Flavored Toast,Knights of Favonius,TRUE,Poonam Basu,Hualing (花玲),Misaki Kuno (久野美咲),Bang Yeon-ji (방연지),Philanemo Mushroom,Everflame Seed,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Ring of Boreas,10287,311,615,9563,289,572,9076,274,542,8358,253,500,7870,238,470,7161,216,428,6673,202,399,5970,180,357,5319,161,318,4623,140,276,4136,125,247,2764,84,165,2077,63,124,801,24,48,Pyro DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Kujou Sara,4,Inazuma,Electro,,Bow,2021-09-01,Tall Female,Flabellum,14-Jul,Faith Eternal,Tenryou Commission,FALSE,Jeannie Tirado,Yang Menglu (杨梦露),Asami Seto (瀬戸麻沙美),Mun Ji-yeong (문지영),Dendrobium,Storm Beads,Damaged Mask,Stained Mask,Ominous Mask,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart,9570,195,628,8907,182,584,8481,173,556,7818,160,513,7393,151,485,6731,137,442,6305,129,414,5642,115,370,5074,104,333,4411,90,289,3985,81,262,2661,54,175,2061,42,135,802,16,53,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Kuki Shinobu,4,Inazuma,Electro,,Sword,2022-06-21,Medium Female,Tribulatio Demptio,27-Jul,Omurice Waltz,"Arataki Gang (on profile), Kuki Clan, Grand Narukami Shrine (formerly)",FALSE,Kira Buckland,Yang Ning (杨凝),Kaori Mizuhashi (水橋 かおり),Kim Yool (김율),Naku Weed,Runic Fang,Spectral Husk,Spectral Heart,Spectral Nucleus,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Tears of the Calamitous God,12288,212,750,11437,197,698,10890,188,665,10039,173,613,9492,164,579,8642,149,528,8095,139,494,7244,125,442,6515,112,398,5664,97,346,5117,88,312,3416,59,208,2646,45,161,1030,17,62,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Layla,4,Sumeru,Cryo,,Sword,2022-11-18,Medium Female,Luscinia,19-Dec,Extravagant Slumber,Rtawahist,FALSE,Ashely Biski,Hou Xiaofei (侯小菲),Tomita Miyu (富田美憂),Kang Sae-Bom (강새봄),Nilotpala Lotus,Perpetual Caliber,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Mirror of Mushin,11092,216,655,10324,201,609,9830,191,580,9062,176,535,8568,167,506,7801,152,460,7307,142,431,6539,127,386,5881,114,347,5113,99,302,4619,90,272,3084,60,182,2389,46,141,930,18,54,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Lisa,4,Mondstadt,Electro,,Catalyst,2020-09-28,Tall Female,Tempus Fugit,09-Jun,Mysterious Bolognese,"Knights of Favonius (on profile), Spantamad (formerly)",FALSE,Mara Junot,Ke Zhong (钟可),Rie Tanaka (田中理恵),Park Go-woon (박고운),Valberry,Lightning Prism,Slime Condensate,Slime Secretions,Slime Concentrate,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Dvalin's Claw,9570,232,573,8907,215,534,8481,205,508,7818,189,468,7393,179,443,6731,163,403,6305,153,378,5642,136,338,5074,123,304,4411,107,264,3985,96,239,2661,64,159,2061,50,123,802,19,48,Elemental Mastery,0,0,24,48,48,72,96
