character_name,star_rarity,region,vision,arkhe,weapon_type,release_date,model,constellation,birthday,special_dish,affiliation,limited,voice_en,voice_cn,voice_jp,voice_kr,ascension_specialty,ascension_boss_material,ascension_material_0-2,ascension_material_2-4,ascension_material_4-6,ascension_gem_0-1,ascension_gem_1-3,ascension_gem_3-5,ascension_gem_5-6,talent_material_1-2,talent_material_2-6,talent_material_6-10,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,ascension_special_stat,special_0,special_1,special_2,special_3,special_4,special_5,special_6
Lynette,4,Fontaine,Anemo,Ousia,Sword,2023-08-16,Medium Female,Felis Alba,02-Feb,A Leisurely Sip,"Hotel Bouffes d'ete (on profile), House of the Hearth",FALSE,Anairis Quiñones,Kekewei (可可味),Sasahara Yu (篠原侑),Lee Myung-hwa (이명화),Lumidouce Bell,Artificed Spare Clockwork Component - Coppelia,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Everamber,12397,231,711,11538,215,662,10987,205,630,10128,189,581,9576,178,549,8719,162,500,8167,152,468,7308,136,419,6573,122,377,5714,106,328,5162,96,296,3446,64,197,2670,49,153,1039,19,59,Anemo DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Lyney,5,Fontaine,Pyro,Pneuma,Bow,2023-08-16,Medium Male,Felis Fuscus,02-Feb,Cubic Tricks,"Hotel Bouffes d'ete (on profile), House of the Hearth",TRUE,Daman Mills,Jinli (锦鲤),Shimono Hiro (下野紘),Park Song-young (박성영),Rainbow Rose,Emperor's Resolution,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Equity,Guide to Equity,Guide to Equity,Guide to Equity,Guide to Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Primordial Greenbloom,11021,318,537,10246,295,500,9723,280,474,8955,258,437,8432,243,411,7672,221,374,7149,206,348,6396,184,312,5699,164,278,4953,142,241,4431,127,216,2961,85,144,2225,64,108,857,24,41,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Mika,4,Mondstadt,Cryo,,Polearm,2023-03-21,Medium Male,Palumbus,11-Aug,Surveyor's Breakfast Sandwich,Knights of Favonius,FALSE,Robb Moreira,Deng Youxi (邓宥希),Sanpei Yūko (三瓶由布子),Yoon Eun-seo (윤은서),Wolfhook,Pseudo-Stamens,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Mirror of Mushin,12506,223,713,11640,207,663,11083,197,632,10217,182,582,9660,172,550,8795,156,501,8239,146,469,7373,131,420,6630,118,378,5764,102,328,5208,92,297,3477,62,198,2693,48,153,1048,18,59,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Mona,5,Mondstadt,Hydro,,Catalyst,2020-09-28,Medium Female,Astrolabos,31-Aug,Der Weisheit Letzter Schluss (Life),"Mondstadt (on profile), The Steambird",FALSE,Felecia Angelle,Tingting Chen (陈婷婷),Konomi Kohara (小原好美),Woo Jeong-sin (우정신),Philanemo Mushroom,Cleansing Heart,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Ring of Boreas,10409,287,653,9677,267,607,9184,253,576,8458,233,531,7964,220,500,7246,200,455,6752,186,424,6041,167,379,5383,148,338,4678,129,294,4185,115,263,2797,77,176,2102,58,132,810,22,51,Energy Recharge,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%
Nahida,5,Sumeru,Dendro,,Catalyst,2022-11-02,Short Female,Sapientia Oromasdis,27-Oct,Halvamazd,"Sumeru City (on profile), The Seven, Sumeru Akademiya",TRUE,Kimberley Anne Campbell,Hualing (花玲),Tamura Yukari (田村ゆかり),Park Shi-Yoon (박시윤),Kalpalata Lotus,Quelled Creeper,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Puppet Strings,10360,298,630,9631,277,585,9140,263,556,8417,242,512,7926,228,482,7211,208,438,6720,193,408,6012,173,365,5357,154,325,4656,134,283,4165,120,253,2783,80,169,2092,60,127,806,23,49,Elemental Mastery,0,0,28.8,57.6,57.6,86.4,115.2
Navia,5,Fontaine,Geo,Ousia,Claymore,2023-12-20,Tall Female,Rosa Multiflora,16-Aug,"""Pick What You Like!""","Spina di Rosula (on profile), House of Caspar",TRUE,Brenna Larsen,Xiaogan (小敢),Toyosaki Aki (豊崎愛生),Jeong Hae-eun (정해은),Spring of the First Dewdrop,Artificed Spare Clockwork Component — Coppelius,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Equity,Guide to Equity,Guide to Equity,Guide to Equity,Guide to Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Lightless Silk String,12650,352,793,11761,327,737,11161,310,700,10278,286,644,9679,269,607,8806,245,552,8206,228,515,7341,204,460,6542,182,410,5686,158,356,5086,141,319,3399,94,213,2555,71,160,985,27,62,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Neuvillette,5,Fontaine,Hydro,Pneuma,Catalyst,2023-09-27,Tall Male,Leviathan Judicator,18-Dec,"""Consomme Purete""","Court of Fontaine (on profile), Marechaussee Phantom, Palais Mermonia, Seven Sovereigns",TRUE,Ray Chase,Sang Yuze (桑毓泽),Kamiya Hiroshi (神谷浩史),Kwak Yoon-sang (곽윤상),Lumitoile,Fontemer Unihorn,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Equity,Guide to Equity,Guide to Equity,Guide to Equity,Guide to Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Everamber,14695,208,576,13662,193,535,12965,183,508,11940,169,468,11243,159,441,10229,145,401,9532,135,373,8528,120,334,7599,107,298,6604,93,259,5908,83,231,3948,55,154,2967,42,116,1143,16,44,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Nilou,5,Sumeru,Hydro,,Sword,2022-10-14,Medium Female,Lotos Somno,03-Dec,Swirling Steps,Zubayr Theater,TRUE,Dani Chambers,Zisu Jiuyue (紫苏九月),Kanemoto Hisako (金元寿子),Chae Rim (채림),Padisarah,Perpetual Caliber,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Tears of the Calamitous God,15184,229,728,14117,213,677,13397,202,642,12338,186,591,11617,175,557,10570,159,507,9850,148,472,8812,133,422,7852,118,376,6825,103,327,6104,92,292,4079,61,195,3066,46,147,1182,17,56,HP,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Ningguang,4,Liyue,Geo,,Catalyst,2020-09-28,Tall Female,Opus Aequilibrium,26-Aug,Qiankun Mora Meat,Liyue Qixing,FALSE,Erin Ebers,Mingya Du (杜冥鸦),Sayaka Ohara (大原さやか),Gwak Gyu-mi (곽규미),Glaze Lily,Basalt Pillar,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Spirit Locket of Boreas,9787,212,573,9110,198,534,8674,188,508,7996,174,468,7561,164,443,6884,149,403,6448,140,378,5770,125,338,5189,113,304,4512,98,264,4076,88,239,2721,59,159,2108,46,123,821,18,48,Geo DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Noelle,4,Mondstadt,Geo,,Claymore,2020-09-28,Medium Female,Parma Cordis,21-Mar,Lighter-Than-Air Pancake,Knights of Favonius,FALSE,Laura Faye Smith,Yanning (宴宁),Kanon Takao (高尾奏音),Lee Bo-hee (이보희),Valberry,Basalt Pillar,Damaged Mask,Stained Mask,Ominous Mask,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Claw,12071,191,799,11235,178,743,10698,169,708,9862,156,652,9325,148,617,8490,134,562,7953,126,526,7117,113,471,6400,101,423,5564,88,368,5027,80,333,3356,53,222,2600,41,172,1012,16,67,DEF,0.00%,0.00%,7.50%,15.00%,15.00%,22.50%,30.00%
Qiqi,5,Liyue,Cryo,,Sword,2020-09-28,Short Female,Pristina Nova,03-Mar,No Tomorrow,"Bubu Pharmacy (on profile), Adepti (energy carrier)",FALSE,Christie Cate,Yanning (宴宁),Yukari Tamura (田村ゆかり),Lee Seul (이슬),Violetgrass,Hoarfrost Core,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Tail of Boreas,12368,287,922,11499,267,857,10912,253,814,10050,233,749,9463,220,706,8610,200,642,8023,186,598,7178,167,535,6396,148,477,5559,129,415,4973,115,371,3323,77,248,2498,58,186,963,22,72,Healing Bonus,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%
Raiden Shogun,5,Inazuma,Electro,,Polearm,2021-09-01,Tall Female,Imperatrix Umbrosa,26-Jun,,"Inazuma City (on profile), Inazuma Shogunate, The Seven",TRUE,Anne Yatco,Juhuahua (菊花花),Miyuki Sawashiro (沢城みゆき),Park Ji-yoon (박지윤),Amakumo Fruit,Storm Beads,Old Handguard,Kageuchi Handguard,Famed Handguard,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Molten Moment,12907,337,789,12000,314,737,11388,298,696,10487,274,641,9875,258,604,8985,235,549,8373,219,512,7491,196,458,6675,175,408,5801,152,355,5189,136,317,3468,91,212,2606,68,159,1005,26,61,Energy Recharge,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%
Razor,4,Mondstadt,Electro,,Claymore,2020-09-28,Medium Male,Lupus Minor,09-Sep,Puppy-Paw Hash Brown,Wolvendom (Boreas),FALSE,Todd Haberkorn,Shuai Zhou (周帅),Kōki Uchiyama (内山昂輝),Kim Seo-yeong (김서영),Wolfhook,Lightning Prism,Damaged Mask,Stained Mask,Ominous Mask,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Claw,11962,234,751,11134,217,699,10602,207,665,9773,191,613,9241,180,580,8413,164,528,7881,154,495,7052,138,443,6343,124,398,5514,108,346,4982,97,313,3326,65,209,2577,50,162,1003,20,63,Physical DMG Bonus,0.00%,0.00%,7.50%,15.00%,15.00%,22.50%,30.00%
Rosaria,4,Mondstadt,Cryo,,Polearm,2021-04-06,Tall Female,Spinea Corona,24-Jan,Dinner of Judgement,Church of Favonius,FALSE,Elizabeth Maxwell,Anqi Zhang (张安琪),Ai Kakuma (加隈亜衣),Kim Bo-na (김보나),Valberry,Hoarfrost Core,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Shadow of the Warrior,12289,240,710,11438,223,661,10891,213,629,10040,196,580,9493,185,548,8643,169,499,8096,158,468,7245,141,418,6516,127,376,5665,111,327,5118,100,296,3417,67,197,2647,52,153,1030,20,60,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Sangonomiya Kokomi,5,Inazuma,Hydro,,Catalyst,2021-09-21,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,"Watatsumi Island (on profile), Sangonomiya Clan, Watatsumi Army",TRUE,Risa Mei,Guiniang (龟娘),Suzuko Mimori (三森すずこ),Yeo Yun-mi (여윤미),Sango Pearl,Dew of Repudation,Spectral Husk,Spectral Heart,Spectral Nucleus,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Spectral Husk,Spectral Heart,Spectral Nucleus,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,13471,234,657,12524,218,611,11885,207,580,10945,190,534,10306,179,503,9377,163,457,8738,152,426,7818,136,381,6966,121,340,6055,105,295,5416,94,264,3619,63,177,2720,47,133,1049,18,51,Hydro DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Sayu,4,Inazuma,Anemo,,Claymore,2021-08-10,Short Female,Nyctereutes Minor,19-Oct,Dizziness-Be-Gone no Justu Version 2.0,Shuumatsuban,FALSE,Lilypichu (Lily Ki),Sakula小舞,Aya Suzaki (洲崎綾),Lee Ji-hyeon (이지현),Crystal Marrow,Marionette Core,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Gilded Scale,11854,244,745,11033,227,693,10505,216,660,9684,200,608,9157,189,575,8337,172,524,7809,161,491,6988,144,439,6285,130,395,5464,113,343,4937,102,310,3296,68,207,2553,53,160,994,20,62,Elemental Mastery,0,0,24,48,48,72,96
Sethos,4,Sumeru,Electro,,Bow,2024-06-05,Medium Male,Basileos Delta,31-May,Super-Dee-Duper Delicious Meat Roll,Temple of Silence,FALSE,Zeno Robinson,Li Lanling (李兰陵),Chiba Shoya (千葉翔也),Kim Dong-hyun (김동현),Trishiraite,Cloudseam Scale,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Faded Red Satin,Trimmed Red Silk,Rich Red Brocade,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Daka's Bell,9787,227,560,9110,212,521,8674,201,496,7996,186,457,7561,176,432,6884,160,394,6448,150,369,5770,134,330,5189,120,297,4512,105,258,4076,95,233,2721,63,156,2108,49,121,821,19,47,Elemental Mastery,0.00%,0.00%,24,48,48,72,96
Shenhe,5,Liyue,Cryo,,Polearm,2022-01-05,Tall Female,Crista Doloris,10-Mar,Heartstring Noodles,"Cloud Retainer's Abode (on profile), Adepti (disciple), Wanmin Restaurant",TRUE,Chelsea Kwoka,Ziyi Qin(秦紫翼),Ayako Kawasumi (川澄綾子),Lee Hyun-jin (이현진),Qingxin,Dragonheir's False Fin,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Hellfire Butterfly,12993,304,830,21080,282,772,11463,268,732,10557,274,674,9941,232,635,9045,211,578,8429,197,538,7540,176,482,6719,157,429,5840,137,373,5224,122,334,3491,82,223,2624,61,168,1011,24,65,ATK,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Shikanoin Heizou,4,Inazuma,Anemo,,Catalyst,2022-07-13,Medium Male,Cervus Minor,24-Jul,The Only Truth,"Tenryou Commission (on profile), Bantan Sango Detective Agency (formerly)",FALSE,Kieran Regan,Lin Jing (林景),Iguchi Yuuichi (井口祐一),Jeong-Ui-jin (정의진),Onikabuto,Runic Fang,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,The Meaning of Aeons,10657,225,683,9919,209,636,9445,199,606,8706,183,558,8232,173,528,7495,158,480,7021,148,450,6283,132,403,5650,119,362,4912,103,315,4438,93,284,2963,62,190,2295,48,147,893,18,57,Anemo DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Sigewinne,5,Fontaine,Hydro,Ousia,Bow,2024-06-25,Short Female,Nereides,30-Mar,Well-Balanced Meal,Fortress of Meropide,TRUE,Sarah Williams,Zhao Shuang (赵爽),Kino Hina (木野日菜),Kim Chae-rin (김채린),Romaritime Flower,Water That Failed To Transcend,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Equity,Guide to Equity,Guide to Equity,Guide to Equity,Guide to Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Lightless Eye of the Maelstrom,13348,193,500,12410,179,464,11777,170,441,10846,156,406,10213,147,382,9292,134,348,8659,125,324,7747,112,290,6902,100,258,5999,87,225,5366,77,201,3586,52,134,2695,39,101,1039,15,39,HP,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Sucrose,4,Mondstadt,Anemo,,Catalyst,2020-09-28,Medium Female,Ampulla,26-Sep,Nutritious Meal (V.593),Knights of Favonius,FALSE,Valeria Rodriguez,Xiaogan (小敢),Akane Fujita (藤田茜),Kim Ha-yeong (김하영),Windwheel Aster,Hurricane Seed,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Whopperflower Nectar,Shimmering Nectar,Energy Nectar,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Spirit Locket of Boreas,9243,170,703,8603,158,654,8192,151,623,7552,139,574,7141,131,543,6501,120,494,6090,112,463,5450,100,414,4901,90,373,4261,78,324,3850,71,293,2570,47,195,1991,37,151,775,14,59,Anemo DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Tartaglia,5,Snezhnaya,Hydro,,Bow,2020-11-11,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,"Fatui (on profile), Eleven Fatui Harbingers",TRUE,Griffin Burns,Yudong (鱼冻),Ryohei Kimura (木村良平),Nam Doh-hyeong (남도형),Starconch,Cleansing Heart,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,13103,301,815,12182,280,757,11561,266,719,10647,245,662,10025,231,623,9121,210,567,8500,195,528,7604,175,473,6776,156,421,5889,135,366,5268,121,328,3521,81,219,2646,61,165,1020,23,63,Hydro DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Thoma,4,Inazuma,Pyro,,Polearm,2021-11-02,Tall Male,Rubeum Scutum,09-Jan,"""Warmth""","Yashiro Commission (on profile), Kamisato Clan",FALSE,Christian Banas,Pei Zhang (张沛),Masakazu Morita (森田成一),Ryu Seung-gon (류승곤),Fluorescent Fungus,Smoldering Pearl,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,10331,202,751,9616,188,699,9156,179,665,8440,165,613,7981,156,580,7266,142,528,6806,133,495,6091,119,443,5478,107,398,4762,93,346,4302,84,313,2872,56,209,2225,43,162,866,17,63,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
