character_name,star_rarity,region,vision,arkhe,weapon_type,release_date,model,constellation,birthday,special_dish,affiliation,limited,voice_en,voice_cn,voice_jp,voice_kr,ascension_specialty,ascension_boss_material,ascension_material_0-2,ascension_material_2-4,ascension_material_4-6,ascension_gem_0-1,ascension_gem_1-3,ascension_gem_3-5,ascension_gem_5-6,talent_material_1-2,talent_material_2-6,talent_material_6-10,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,ascension_special_stat,special_0,special_1,special_2,special_3,special_4,special_5,special_6
Tighnari,5,Sumeru,Dendro,,Bow,2022-08-24,Medium Male,Vulpes Zerda,29-Dec,Forest Watcher's Choice,"Gandharva Ville (on profile), Forest Rangers, Amurta (graduate)",FALSE,Zachary Gordon,Moran (莫然),Kobayashi Sanae (小林 沙苗),Jung Ui-taek (정의택),Nilotpala Lotus,Majestic Hooked Beak,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Guide to Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,Philosophies of Admonition,The Meaning of Aeons,10849,267,630,10087,249,585,9572,236,556,8815,217,512,8301,204,482,7552,186,438,7038,173,408,6296,155,365,5610,138,325,4876,120,283,4362,107,253,2915,71,169,2191,54,127,844,20,49,Dendro DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
"Traveler (Aether, Anemo)",5,,Anemo,,Sword,2020-09-28,Medium Male,Viator,Player's Choice,,,,Zach Aguilar,Luyin (鹿喑),Horie Shun (堀江瞬),Lee Kyung-tae (이경태),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Freedom,Guide to Resistance,Guide to Ballad,Guide to Freedom,Guide to Resistance,Philosophies of Ballad,Philosophies of Freedom,Philosophies of Resistance,Philosophies of Ballad,Dvalin's Sigh,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Aether, Dendro)",5,,Dendro,,Sword,2020-09-28,Medium Male,Viator,Player's Choice,,,,Zach Aguilar,Luyin (鹿喑),Horie Shun (堀江瞬),Lee Kyung-tae (이경태),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Admonition,Guide to Ingenuity,Guide to Praxis,Guide to Admonition,Guide to Ingenuity,Philosophies of Praxis,Philosophies of Admonition,Philosophies of Ingenuity,Philosophies of Praxis,Mudra of the Malefic General,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Aether, Electro)",5,,Electro,,Sword,2020-09-28,Medium Male,Viator,Player's Choice,,,,Zach Aguilar,Luyin (鹿喑),Horie Shun (堀江瞬),Lee Kyung-tae (이경태),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Transience,Guide to Elegance,Guide to Light,Guide to Transience,Guide to Elegance,Philosophies of Light,Philosophies of Transience,Philosophies of Elegance,Philosophies of Light,Dragon Lord's Crown,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Aether, Geo)",5,,Geo,,Sword,2020-09-28,Medium Male,Viator,Player's Choice,,,,Zach Aguilar,Luyin (鹿喑),Horie Shun (堀江瞬),Lee Kyung-tae (이경태),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Freedom,Guide to Resistance,Guide to Ballad,Guide to Freedom,Guide to Resistance,Philosophies of Ballad,Philosophies of Freedom,Philosophies of Resistance,Philosophies of Ballad,Dvalin's Sigh,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Aether, Hydro)",5,,Hydro,Pneuma,Sword,2020-09-28,Medium Male,Viator,Player's Choice,,,,Zach Aguilar,Luyin (鹿喑),Horie Shun (堀江瞬),Lee Kyung-tae (이경태),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Lumine, Anemo)",5,,Anemo,,Sword,2020-09-28,Medium Female,Viatrix,Player's Choice,,,,Sarah Miller-Crews,Yanning (宴宁),Yuuki Aoi (悠木碧),Lee Sae-a (이새아),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Freedom,Guide to Resistance,Guide to Ballad,Guide to Freedom,Guide to Resistance,Philosophies of Ballad,Philosophies of Freedom,Philosophies of Resistance,Philosophies of Ballad,Dvalin's Sigh,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Lumine, Dendro)",5,,Dendro,,Sword,2020-09-28,Medium Female,Viatrix,Player's Choice,,,,Sarah Miller-Crews,Yanning (宴宁),Yuuki Aoi (悠木碧),Lee Sae-a (이새아),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Fungal Spores,Luminescent Pollen,Crystalline Cyst Dust,Teachings of Admonition,Guide to Ingenuity,Guide to Praxis,Guide to Admonition,Guide to Ingenuity,Philosophies of Praxis,Philosophies of Admonition,Philosophies of Ingenuity,Philosophies of Praxis,Mudra of the Malefic General,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Lumine, Electro)",5,,Electro,,Sword,2020-09-28,Medium Female,Viatrix,Player's Choice,,,,Sarah Miller-Crews,Yanning (宴宁),Yuuki Aoi (悠木碧),Lee Sae-a (이새아),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Transience,Guide to Elegance,Guide to Light,Guide to Transience,Guide to Elegance,Philosophies of Light,Philosophies of Transience,Philosophies of Elegance,Philosophies of Light,Dragon Lord's Crown,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Lumine, Geo)",5,,Geo,,Sword,2020-09-28,Medium Female,Viatrix,Player's Choice,,,,Sarah Miller-Crews,Yanning (宴宁),Yuuki Aoi (悠木碧),Lee Sae-a (이새아),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Freedom,Guide to Resistance,Guide to Ballad,Guide to Freedom,Guide to Resistance,Philosophies of Ballad,Philosophies of Freedom,Philosophies of Resistance,Philosophies of Ballad,Dvalin's Sigh,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
"Traveler (Lumine, Hydro)",5,,Hydro,Pneuma,Sword,2020-09-28,Medium Female,Viatrix,Player's Choice,,,,Sarah Miller-Crews,Yanning (宴宁),Yuuki Aoi (悠木碧),Lee Sae-a (이새아),Windwheel Aster,,Damaged Mask,Stained Mask,Ominous Mask,Brilliant Diamond Sliver,Brilliant Diamond Fragment,Brilliant Diamond Chunk,Brilliant Diamond Gemstone,Transoceanic Pearl,Transoceanic Chunk,Xenochromatic Crystal,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Venti,5,Mondstadt,Anemo,,Bow,2020-09-28,Medium Male,Carmen Dei,16-Jun,A Buoyant Breeze,"Mondstadt (on profile), The Seven",TRUE,Erika Harlacher,Miaojiang (喵酱),Ayumu Murase (村瀬歩),Jung Yoo-jung (정유정),Cecilia,Hurricane Seed,Slime Condensate,Slime Secretions,Slime Concentrate,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Tail of Boreas,10531,263,669,9790,245,622,9292,232,590,8557,214,543,8058,201,512,7331,183,465,6832,171,434,6112,153,388,5446,136,346,4734,118,301,4234,106,269,2830,71,180,2127,53,135,820,20,52,Energy Recharge,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%
Wanderer,5,Sumeru,Anemo,,Catalyst,2022-12-07,Medium Male,Peregrinus,03-Jan,Shimi Chazuke,"None (on profile), Vahumana (as Hat Guy)",TRUE,Patrick Pedraza,Luyin (鹿喑),Kakihara Tetsuya (柿原 徹也),Min Seung-woo (민승우),Rukkhashava Mushrooms,Perpetual Caliber,Old Handguard,Kageuchi Handguard,Famed Handguard,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Daka's Bell,10164,327,607,9449,304,564,8967,289,535,8258,266,493,7776,250,464,7075,228,422,6593,212,393,5898,190,352,5256,169,313,4568,147,272,4086,131,244,2730,88,163,2052,66,122,791,25,47,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Wriothesley,5,Fontaine,Cryo,Ousia,Catalyst,2023-10-17,Tall Male,Cerberus,23-Nov,Special Sauce BBQ Ribs,Fortress of Meropide,TRUE,Joe Zieja,Liu Beichen (刘北辰),Ono Daisuke (小野大輔),Kwon Chang-wook (권창욱),Subdetection Unit,"""Tourbillon Device""",Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Shivada Jade Sliver,Shivada Jade Fragment,Shivada Jade Chunk,Shivada Jade Gemstone,Meshing Gear,Mechanical Spur Gear,Artificed Dynamic Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Primordial Greenbloom,13592,310,763,12637,289,709,11992,274,673,11044,252,620,10399,237,583,9462,216,531,8817,201,495,7888,180,442,7029,160,394,6109,139,343,5464,125,306,3652,83,205,2744,62,154,1058,24,59,CRIT DMG,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%
Xiangling,4,Liyue,Pyro,,Polearm,2020-09-28,Medium Female,Trulla,02-Nov,Wanmin Restaurant's Boiled Fish,"Wanmin Restaurant (on profile), The Crux",FALSE,Jackie Lastra,Xiao N (小N),Ari Ozawa (小澤亜李),Yun A-yeong (윤아영),Jueyun Chili,Everflame Seed,Slime Condensate,Slime Secretions,Slime Concentrate,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Dvalin's Claw,10875,225,669,10122,210,623,9638,200,593,8885,184,546,8401,174,517,7648,158,470,7164,148,441,6411,133,394,5766,119,355,5013,104,308,4529,94,279,3024,63,186,2342,48,144,912,19,56,Elemental Mastery,0,0,24,48,48,72,96
Xianyun,5,Liyue,Anemo,,Catalyst,2024-01-31,Tall Female,Grus Serena,11-Apr,Encompassing Gladness,"Mt. Aocang (on profile), Adepti",TRUE,Stephanie Panisello,Qin Ziyi (秦紫翼),Nakatomi Mana (中臣 真菜),Kang Si-hyeon (강시현),Clearwater Jade,Cloudseam Scale,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Lightless Eye of the Maelstrom,10409,335,573,9677,311,532,9184,295,505,8458,272,465,7964,256,438,7246,233,399,6752,217,371,6041,194,332,5383,173,296,4678,150,257,4185,135,230,2797,90,154,2102,68,116,810,26,45,ATK,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
Xiao,5,Liyue,Anemo,,Polearm,2021-02-03,Medium Male,Alatus Nemeseos,17-Apr,"""Sweet Dream""","Liyue Adeptus (on profile), Yakshas",TRUE,Laila Berzins,kinsen,Yoshitsugu Matsuoka (松岡禎丞),Sim Kyu-hyuk (심규혁),Qingxin,Juvenile Jade,Slime Condensate,Slime Secretions,Slime Concentrate,Vayuda Turquoise Sliver,Vayuda Turquoise Fragment,Vayuda Turquoise Chunk,Vayuda Turquoise Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Shadow of the Warrior,12736,349,799,11840,325,743,11236,308,705,10348,284,649,9744,267,612,8866,243,556,8262,227,519,7391,203,464,6586,181,413,5724,157,359,5120,141,321,3422,94,215,2572,71,161,991,27,62,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Xingqiu,4,Liyue,Hydro,,Sword,2020-09-28,Medium Male,Fabulae Textile,09-Oct,All-Delicacy Parcels,"Feiyun Commerce Guild (on profile), Guhua Clan, Yae Publishing House (as Zhenyu)",FALSE,Cristina Vee Valenzuela,Yajing Tang (唐雅菁),Junko Minagawa (皆川純子),Gwak Gyu-mi (곽규미),Silk Flower,Cleansing Heart,Damaged Mask,Stained Mask,Ominous Mask,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tail of Boreas,10223,202,758,9515,188,705,9060,179,671,8352,165,619,7897,156,585,7190,142,533,6735,133,499,6027,119,447,5420,107,402,4712,93,349,4257,84,316,2842,56,211,2202,43,163,857,17,64,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Xinyan,4,Liyue,Pyro,,Claymore,2020-12-01,Medium Female,Fila Ignium,16-Oct,Rockin' Riffin' Chicken!,"""The Red Strings""",FALSE,Laura Stahl,Yaxin Wang (王雅欣),Chiaki Takahashi (たかはし智秋),Kim Chae-ha (김채하),Violetgrass,Everflame Seed,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,11201,249,799,10425,231,743,9927,220,708,9151,203,652,8653,192,617,7878,175,562,7379,164,526,6604,147,471,5939,132,423,5163,115,368,4665,103,333,3114,69,222,2413,54,172,939,21,67,ATK,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Yae Miko,5,Inazuma,Electro,,Catalyst,2022-02-16,Tall Female,Divina Vulpes,27-Jun,Fukuuchi Udon,"Grand Narukami Shrine (on profile), Yae Publishing House",TRUE,Ratana,Mingya Du (杜冥鸦),Ayane Sakura (佐倉綾音),Moon Yoo-jeong (문유정),Sea Ganoderma,Dragonheir's False Fin,Old Handguard,Kageuchi Handguard,Famed Handguard,Vajrada Amethyst Sliver,Vajrada Amethyst Fragment,Vajrada Amethyst Chunk,Vajrada Amethyst Gemstone,Old Handguard,Kageuchi Handguard,Famed Handguard,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,The Meaning of Aeons,10372,340,569,9643,316,529,9151,300,502,8428,276,462,7936,260,435,7220,236,396,6729,220,369,6020,197,330,5364,176,294,4662,153,256,4170,137,229,2787,91,153,2065,69,115,807,26,44,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Yanfei,4,Liyue,Pyro,,Catalyst,2021-04-28,Medium Female,Bestia Iustitia,28-Jul,"""My Way""","Yanfei Legal Consultancy (on profile), Adepti",FALSE,Lizzie Freeman,Ziwu Su (苏子芜),Yumiri Hanamori (花守 ゆみり),Cho Kyung-yi (조경이),Noctilucous Jade,Juvenile Jade,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Treasure Hoarder Insignia,Silver Raven Insignia,Golden Raven Insignia,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Bloodjade Branch,9352,240,587,8705,223,546,8289,213,520,7641,196,480,7225,185,453,6578,169,413,6161,158,387,5514,141,346,4959,127,311,4311,111,271,3895,100,244,2600,67,163,2014,52,126,784,20,49,Pyro DMG Bonus,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Yaoyao,4,Liyue,Dendro,,Polearm,2023-01-18,Short Female,Osmanthus,06-Mar,Qingce Household Dish,"Streetward Rambler's Abode (on profile), Adepti (disciple)",FALSE,Kelsey Jaffer,Liu Yinuo (刘颐诺),Kadowaki Mai (門脇舞以),Yu Hye-ji (유혜지),Jueyun Chili,Quelled Creeper,Slime Condensate,Slime Secretions,Slime Concentrate,Nagadus Emerald Sliver,Nagadus Emerald Fragment,Nagadus Emerald Chunk,Nagadus Emerald Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Daka's Bell,12288,212,750,11437,197,698,10890,188,665,10039,173,613,9492,164,579,8642,149,528,8095,139,494,7244,125,442,6515,112,398,5664,97,346,5117,88,312,3416,59,208,2646,45,161,1030,17,62,HP,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%
Yelan,5,Liyue,Hydro,,Bow,2022-05-31,Tall Female,Umbrabilis Orchis,20-Apr,Dew-Dipped Shrimp,"Yanshang Teahouse (on profile), Ministry of Civil Affairs",TRUE,Laura Post,Xu Hui (徐慧),Endou Aya (遠藤 綾),Min-a (민아),Starconch,Runic Fang,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Varunada Lazurite Sliver,Varunada Lazurite Fragment,Varunada Lazurite Chunk,Varunada Lazurite Gemstone,Recruit's Insignia,Sergeant's Insignia,Lieutenant's Insignia,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Gilded Scale,14450,244,548,13434,227,509,12749,215,483,11741,198,445,11056,187,419,10059,170,381,9374,158,355,8386,142,318,7472,126,283,6495,110,246,5810,98,220,3883,66,147,2918,49,111,1125,19,43,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Yoimiya,5,Inazuma,Pyro,,Bow,2021-08-10,Medium Female,Carassius Auratus,21-Jun,Summer Festival Fish,Naganohara Fireworks,TRUE,Jenny Yokobori,Na Jin (金娜),Kana Ueda (植田佳奈),Bak Sin-hee (박신희),Naku Weed,Smoldering Pearl,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Agnidus Agate Sliver, Agnidus Agate Fragment,Agnidus Agate Chunk,Agnidus Agate Gemstone,Divining Scroll,Sealed Scroll,Forbidden Curse Scroll,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Dragon Lord's Crown,10164,323,615,9450,300,572,8968,285,542,8259,262,500,7777,247,470,7075,225,428,6593,209,399,6899,187,357,5256,167,318,4568,145,276,4086,130,318,2731,87,165,2053,65,124,791,25,48,CRIT Rate,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%
Yun Jin,4,Liyue,Geo,,Polearm,2022-01-05,Medium Female,Opera Grandis,21-May,Cloud-Shrouded Jade,"Yun-Han Opera Troupe (on profile), Heyu Tea House, Yun Family",FALSE,"Judy Alice Lee, Yang Yang (杨扬)","Wenxiao He (贺文潇), Yang Yang (杨扬)","Koiwai Kotori (小岩井ことり), Yang Yang (杨扬)","Sa Mun-yeong (사문영), Yang Yang (杨扬)",Glaze Lily,Riftborn Regalia,Damaged Mask,Stained Mask,Ominous Mask,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Damaged Mask,Stained Mask,Ominous Mask,Teachings of Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Guide to Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Philosophies of Diligence,Ashen Heart,10657,191,734,9919,178,684,9445,169,651,8707,156,600,8233,148,567,7495,134,517,7021,126,484,6283,113,433,5651,101,389,4913,88,339,4438,80,306,2963,53,204,2296,41,156,894,16,62,Energy Recharge,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%
Zhongli,5,Liyue,Geo,,Polearm,2020-12-01,Tall Male,Lapis Dei,31-Dec,Slow-Cooked Bamboo Shoot Soup,"Liyue Harbor (on profile), Wangsheng Funeral Parlor, The Seven, Adepti",TRUE,Keith Silverstein,Bo Peng (彭博),Tomoaki Maeno (前野智昭),Pyo Yeong-jae (표영재),Cor Lapis,Basalt Pillar,Slime Condensate,Slime Secretions,Slime Concentrate,Prithiva Topaz Sliver,Prithiva Topaz Fragment,Prithiva Topaz Chunk,Prithiva Topaz Gemstone,Slime Condensate,Slime Secretions,Slime Concentrate,Teachings of Gold,Guide to Gold,Guide to Gold,Guide to Gold,Guide to Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Philosophies of Gold,Tusk of Monoceros Caeli,14695,251,738,13662,233,686,12965,222,651,11940,204,599,11243,192,564,10230,175,514,9533,163,479,8528,146,428,7599,130,382,6605,113,332,5908,101,297,3948,67,198,2967,51,149,1144,20,57,Geo DMG Bonus,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%
